"pathway","GeneID","GeneName","logFC","FDR","Significant"
"ABC transporters","ECs_4346","nickel ABC transporter ATPase",-2.02983774096763,0.0464598248389027,"Downregulated in SAC"
"ABC transporters","ECs_3296","thiosulfate-binding protein",-1.6992236261781,0.00253024996236222,"Downregulated in SAC"
"ABC transporters","ECs_0629","ferrienterobactin ABC transporter permease",-1.50648049949181,0.0522077106870735,"Not Significant"
"ABC transporters","ECs_4347","nickel ABC transporter ATPase",-1.49248798369117,0.070274460450295,"Not Significant"
"ABC transporters","ECs_3802","ABC transporter ATP-binding protein",-1.3884324200363,0.0824045799460028,"Not Significant"
"Alanine, aspartate and glutamate metabolism","ECs_5222","aspartate carbamoyltransferase",-3.7536859390314,0.0331162099648888,"Downregulated in SAC"
"Alanine, aspartate and glutamate metabolism","ECs_5221","aspartate carbamoyltransferase regulatory subunit",-3.73957626834887,0.0470850126442065,"Downregulated in SAC"
"Alanine, aspartate and glutamate metabolism","ECs_0036","carbamoyl-phosphate synthase large subunit",-3.51404245435987,0.0287854847448018,"Downregulated in SAC"
"Alanine, aspartate and glutamate metabolism","ECs_0035","carbamoyl phosphate synthetase small subunit",-3.28774772416422,0.0452265567201431,"Downregulated in SAC"
"Alanine, aspartate and glutamate metabolism","ECs_4889","argininosuccinate lyase",-1.14038804059086,0.129189425169399,"Not Significant"
"Aminoacyl-tRNA biosynthesis","ECs_R0125","tRNA-Gly",2.37822890558229,0.0011112502687988,"Upregulated in SAC"
"Aminoacyl-tRNA biosynthesis","ECs_R0063","tRNA-Ile",2.07139484896646,0.19240526647434,"Not Significant"
"Aminoacyl-tRNA biosynthesis","ECs_R0079","tRNA-Ala",2.04016441670262,0.0494723180772493,"Upregulated in SAC"
"Aminoacyl-tRNA biosynthesis","ECs_R0052","tRNA-Ser",1.82065586504986,0.0499616104984994,"Upregulated in SAC"
"Aminoacyl-tRNA biosynthesis","ECs_R0036","tRNA-Leu",1.41270080572599,0.109345187407349,"Not Significant"
"Arginine biosynthesis","ECs_0036","carbamoyl-phosphate synthase large subunit",-3.51404245435987,0.0287854847448018,"Downregulated in SAC"
"Arginine biosynthesis","ECs_0035","carbamoyl phosphate synthetase small subunit",-3.28774772416422,0.0452265567201431,"Downregulated in SAC"
"Arginine biosynthesis","ECs_4887","N-acetyl-gamma-glutamyl-phosphate reductase",-1.26986127817592,0.0247208152324518,"Downregulated in SAC"
"Arginine biosynthesis","ECs_4889","argininosuccinate lyase",-1.14038804059086,0.129189425169399,"Not Significant"
"Arginine biosynthesis","ECs_4052","argininosuccinate synthetase",-0.992582822704281,0.0325501619305671,"Not Significant"
"Bacterial chemotaxis","ECs_2685","flagellar motor switching and energizing component",8.48239170526719,0.000116789845691926,"Upregulated in SAC"
"Bacterial chemotaxis","ECs_2599","chemotaxis protein MotB",8.31683105460175,6.7216514060218e-06,"Upregulated in SAC"
"Bacterial chemotaxis","ECs_2678","flagellar motor switching and energizing component",8.25150825849781,6.7216514060218e-06,"Upregulated in SAC"
"Bacterial chemotaxis","ECs_2596","methyl-accepting chemotaxis protein II",8.06323163208662,6.81618490478951e-06,"Upregulated in SAC"
"Bacterial chemotaxis","ECs_2600","flagellar motor protein MotA",8.04206270621625,7.42127638599276e-06,"Upregulated in SAC"
"Biofilm formation - Escherichia coli","ECs_2661","RNA polymerase sigma 28 factor FilA",8.73249907038382,6.7216514060218e-06,"Upregulated in SAC"
"Biofilm formation - Escherichia coli","ECs_4405","cyclic-di-GMP phosphodiesterase",7.59755138086573,6.7216514060218e-06,"Upregulated in SAC"
"Biofilm formation - Escherichia coli","ECs_2660","flagellar biosynthesis protein FliZ",6.77535333490036,9.30086718306181e-06,"Upregulated in SAC"
"Biofilm formation - Escherichia coli","ECs_1449","anti-sigma factor for FliA",6.30073929105386,1.61339486996737e-05,"Upregulated in SAC"
"Biofilm formation - Escherichia coli","ECs_1421","curli production protein",3.703544557753,0.00121743415994901,"Upregulated in SAC"
"Biosynthesis of amino acids","ECs_4887","N-acetyl-gamma-glutamyl-phosphate reductase",-1.26986127817592,0.0247208152324518,"Downregulated in SAC"
"Biosynthesis of amino acids","ECs_4889","argininosuccinate lyase",-1.14038804059086,0.129189425169399,"Not Significant"
"Biosynthesis of amino acids","ECs_2429","6-phosphofructokinase II",-1.11587444519625,0.0484225344395815,"Downregulated in SAC"
"Biosynthesis of amino acids","ECs_4052","argininosuccinate synthetase",-0.992582822704281,0.0325501619305671,"Not Significant"
"Biosynthesis of amino acids","ECs_3695","diaminopimelate decarboxylase",-0.932817636241098,0.0177275020213079,"Not Significant"
"Biosynthesis of cofactors","ECs_5222","aspartate carbamoyltransferase",-3.7536859390314,0.0331162099648888,"Downregulated in SAC"
"Biosynthesis of cofactors","ECs_5221","aspartate carbamoyltransferase regulatory subunit",-3.73957626834887,0.0470850126442065,"Downregulated in SAC"
"Biosynthesis of cofactors","ECs_0036","carbamoyl-phosphate synthase large subunit",-3.51404245435987,0.0287854847448018,"Downregulated in SAC"
"Biosynthesis of cofactors","ECs_0035","carbamoyl phosphate synthetase small subunit",-3.28774772416422,0.0452265567201431,"Downregulated in SAC"
"Biosynthesis of cofactors","ECs_0853","biotin synthase",-2.48208863357692,0.0126438616189126,"Downregulated in SAC"
"Biosynthesis of secondary metabolites","ECs_0036","carbamoyl-phosphate synthase large subunit",-3.51404245435987,0.0287854847448018,"Downregulated in SAC"
"Biosynthesis of secondary metabolites","ECs_0035","carbamoyl phosphate synthetase small subunit",-3.28774772416422,0.0452265567201431,"Downregulated in SAC"
"Biosynthesis of secondary metabolites","ECs_0632","isochorismate synthase 1",-1.849571820638,0.0334959315571781,"Downregulated in SAC"
"Biosynthesis of secondary metabolites","ECs_3761","isopentenyl diphosphate isomerase",-1.60032034060496,0.00508314369360788,"Downregulated in SAC"
"Biosynthesis of secondary metabolites","ECs_0423","5-aminolevulinate dehydratase",-1.55449652012048,0.00193693205871683,"Downregulated in SAC"
"Biotin metabolism","ECs_0853","biotin synthase",-2.48208863357692,0.0126438616189126,"Downregulated in SAC"
"Biotin metabolism","ECs_0854","8-amino-7-oxononanoate synthase",-2.30332451906519,0.0147125000907457,"Downregulated in SAC"
"Biotin metabolism","ECs_0856","dethiobiotin synthetase",-2.10504498363753,0.0239266609315358,"Downregulated in SAC"
"Biotin metabolism","ECs_0855","malonyl-ACP O-methyltransferase",-1.92763800406867,0.0398175833768854,"Downregulated in SAC"
"Biotin metabolism","ECs_0852","7,8-diaminopelargonic acid synthase",-1.7925787581321,0.0334959315571781,"Downregulated in SAC"
"Cationic antimicrobial peptide (CAMP) resistance","ECs_2138","multiple antibiotic resistance transcriptional regulator",-2.67290863326561,0.00448721833024348,"Downregulated in SAC"
"Cationic antimicrobial peptide (CAMP) resistance","ECs_1863","multidrug-efflux transport protein precursor",-2.01670003887468,0.00730155013650532,"Downregulated in SAC"
"Cationic antimicrobial peptide (CAMP) resistance","ECs_0165","serine endoprotease",-1.6652004611333,0.00441870095317666,"Downregulated in SAC"
"Cationic antimicrobial peptide (CAMP) resistance","ECs_1864","multidrug efflux system protein",-1.65725575485061,0.00881650783513475,"Downregulated in SAC"
"Cationic antimicrobial peptide (CAMP) resistance","ECs_4214","peptidyl-prolyl cis-trans isomerase A",-1.16235470624975,0.0139385411757192,"Downregulated in SAC"
"Flagellar assembly","ECs_2662","flagellin",9.26738252664794,6.7216514060218e-06,"Upregulated in SAC"
"Flagellar assembly","ECs_1452","flagellar component of cell-proximal portion of basal-body rod",9.11182368993053,0.000129107298722041,"Upregulated in SAC"
"Flagellar assembly","ECs_1453","flagellar hook assembly protein",9.07283220603316,6.7216514060218e-06,"Upregulated in SAC"
"Flagellar assembly","ECs_1451","flagellar component of cell-proximal portion of basal-body rod",8.83214830728614,3.29000864892629e-05,"Upregulated in SAC"
"Flagellar assembly","ECs_2661","RNA polymerase sigma 28 factor FilA",8.73249907038382,6.7216514060218e-06,"Upregulated in SAC"
"Microbial metabolism in diverse environments","ECs_2708","hydroxyisourate hydrolase",-2.45718064918618,0.00221981991147281,"Downregulated in SAC"
"Microbial metabolism in diverse environments","ECs_0931","nitroreductase A",-2.26995354451525,0.000870731222911494,"Downregulated in SAC"
"Microbial metabolism in diverse environments","ECs_0423","5-aminolevulinate dehydratase",-1.55449652012048,0.00193693205871683,"Downregulated in SAC"
"Microbial metabolism in diverse environments","ECs_3619","sulfite reductase alpha subunit flavoprotein",-1.34205572721744,0.0163091308746778,"Downregulated in SAC"
"Microbial metabolism in diverse environments","ECs_0616","dihydropteridine reductase",-1.25509947558697,0.00716879432879413,"Downregulated in SAC"
"Purine metabolism","ECs_2708","hydroxyisourate hydrolase",-2.45718064918618,0.00221981991147281,"Downregulated in SAC"
"Purine metabolism","ECs_3338","phosphoribosylaminoimidazole-succinocarboxamide synthetase",-1.11718488497695,0.0878119662554062,"Not Significant"
"Purine metabolism","ECs_4929","IMP cyclohydrolase and phosphoribosylaminoimidazolecarboxamide formyltransferase",-1.05309776758976,0.094332759359872,"Not Significant"
"Purine metabolism","ECs_0584","N5-carboxyaminoimidazole ribonucleotide synthase",-1.02096837961613,0.0552184256982225,"Not Significant"
"Purine metabolism","ECs_3423","phosphoribosylformyl-glycineamide synthetase",-0.930312545649669,0.0728222247052833,"Not Significant"
"Pyrimidine metabolism","ECs_5222","aspartate carbamoyltransferase",-3.7536859390314,0.0331162099648888,"Downregulated in SAC"
"Pyrimidine metabolism","ECs_5221","aspartate carbamoyltransferase regulatory subunit",-3.73957626834887,0.0470850126442065,"Downregulated in SAC"
"Pyrimidine metabolism","ECs_0036","carbamoyl-phosphate synthase large subunit",-3.51404245435987,0.0287854847448018,"Downregulated in SAC"
"Pyrimidine metabolism","ECs_0035","carbamoyl phosphate synthetase small subunit",-3.28774772416422,0.0452265567201431,"Downregulated in SAC"
"Pyrimidine metabolism","ECs_0390","cytosine/isoguanine deaminase",-1.54785667542582,0.0423664907943051,"Downregulated in SAC"
"Sulfur metabolism","ECs_3296","thiosulfate-binding protein",-1.6992236261781,0.00253024996236222,"Downregulated in SAC"
"Sulfur metabolism","ECs_0422","taurine dioxygenase",-1.41107880770476,0.0173583506876634,"Downregulated in SAC"
"Sulfur metabolism","ECs_3619","sulfite reductase alpha subunit flavoprotein",-1.34205572721744,0.0163091308746778,"Downregulated in SAC"
"Sulfur metabolism","ECs_3295","sulfate/thiosulfate ABC transporter permease",-1.11819667807043,0.0107220146681208,"Downregulated in SAC"
"Sulfur metabolism","ECs_4268","thiosulfate:cyanide sulfurtransferase",-0.928297257060785,0.12111010173147,"Not Significant"
"Two-component system","ECs_2662","flagellin",9.26738252664794,6.7216514060218e-06,"Upregulated in SAC"
"Two-component system","ECs_2661","RNA polymerase sigma 28 factor FilA",8.73249907038382,6.7216514060218e-06,"Upregulated in SAC"
"Two-component system","ECs_2596","methyl-accepting chemotaxis protein II",8.06323163208662,6.81618490478951e-06,"Upregulated in SAC"
"Two-component system","ECs_2600","flagellar motor protein MotA",8.04206270621625,7.42127638599276e-06,"Upregulated in SAC"
"Two-component system","ECs_2598","chemotaxis protein CheA",7.96448319058001,1.09192907533663e-05,"Upregulated in SAC"
